"-ftree-sra","flag_tree_sra","x_flag_tree_sra"
"-ftree-switch-conversion","flag_tree_switch_conversion","x_flag_tree_switch_conversion"
"-ftree-tail-merge","flag_tree_tail_merge","x_flag_tree_tail_merge"
"-ftree-ter","flag_tree_ter","x_flag_tree_ter"
"-ftree-vrp","flag_tree_vrp","x_flag_tree_vrp"
"-funconstrained-commons","flag_unconstrained_commons","x_flag_unconstrained_commons"
"-funderscoring","flag_underscoring","x_flag_underscoring"
"-funit-at-a-time","flag_unit_at_a_time","x_flag_unit_at_a_time"
"-funroll-all-loops","flag_unroll_all_loops","x_flag_unroll_all_loops"
"-funroll-loops","flag_unroll_loops","x_flag_unroll_loops"
"-funsafe-math-optimizations","flag_unsafe_math_optimizations","x_flag_unsafe_math_optimizations"
"-funswitch-loops","flag_unswitch_loops","x_flag_unswitch_loops"
"-funwind-tables","flag_unwind_tables","x_flag_unwind_tables"
"-fuse-cxa-atexit","flag_use_cxa_atexit","x_flag_use_cxa_atexit"
"-fuse-cxa-get-exception-ptr","flag_use_cxa_get_exception_ptr","x_flag_use_cxa_get_exception_ptr"
"-fuse-linker-plugin","flag_use_linker_plugin","x_flag_use_linker_plugin"
"-fvar-tracking","flag_var_tracking","x_flag_var_tracking"
"-fvar-tracking-assignments","flag_var_tracking_assignments","x_flag_var_tracking_assignments"
"-fvar-tracking-assignments-toggle","flag_var_tracking_assignments_toggle","x_flag_var_tracking_assignments_toggle"
"-fvar-tracking-uninit","flag_var_tracking_uninit","x_flag_var_tracking_uninit"
"-fvariable-expansion-in-unroller","flag_variable_expansion_in_unroller","x_flag_variable_expansion_in_unroller"
"-fvect-cost-model","flag_vect_cost_model","x_flag_vect_cost_model"
"-fverbose-asm","flag_verbose_asm","x_flag_verbose_asm"
"-fversion-loops-for-strides","flag_version_loops_for_strides","x_flag_version_loops_for_strides"
"-fvisibility-ms-compat","flag_visibility_ms_compat","x_flag_visibility_ms_compat"
"-fvtv-counts","flag_vtv_counts","x_flag_vtv_counts"
"-fvtv-debug","flag_vtv_debug","x_flag_vtv_debug"
"-fweak","flag_weak","x_flag_weak"
"-fweb","flag_web","x_flag_web"
"-fwhole-program","flag_whole_program","x_flag_whole_program"
"-fworking-directory","flag_working_directory","x_flag_working_directory"
"-fwrapv","flag_wrapv","x_flag_wrapv"
"-fwrapv-pointer","flag_wrapv_pointer","x_flag_wrapv_pointer"
"-fzero-initialized-in-bss","flag_zero_initialized_in_bss","x_flag_zero_initialized_in_bss"
"-fzero-link","flag_zero_link","x_flag_zero_link"
"-fsanitize","flag_sanitize","x_flag_sanitize"
"-fundef","flag_undef","x_flag_undef"
"-fpedantic-errors","flag_pedantic_errors","x_flag_pedantic_errors"
"-fskip-rax-setup","flag_skip_rax_setup","x_flag_skip_rax_setup"
"-frecord-mcount","flag_record_mcount","x_flag_record_mcount"
"-fnop-mcount","flag_nop_mcount","x_flag_nop_mcount"
"-fmanual-endbr","flag_manual_endbr","x_flag_manual_endbr"
"-fforce-indirect-call","flag_force_indirect_call","x_flag_force_indirect_call"
"-ffentry","flag_fentry","x_flag_fentry"
"-fdispatch-scheduler","flag_dispatch_scheduler","x_flag_dispatch_scheduler"
"-fcet-switch","flag_cet_switch","x_flag_cet_switch"
"-fandroid","flag_android","x_flag_android"
"-fgtoggle","flag_gtoggle","x_flag_gtoggle"
"-fgen-declaration","flag_gen_declaration","x_flag_gen_declaration"
"-fdescribe-dies","flag_describe_dies","x_flag_describe_dies"
"-fvtable-verify","flag_vtable_verify","x_flag_vtable_verify"
"-fvalue-profile-transformations","flag_value_profile_transformations","x_flag_value_profile_transformations"
"-ftree-parallelize-loops","flag_tree_parallelize_loops","x_flag_tree_parallelize_loops"
"-ftree-live-range-split","flag_tree_live_range_split","x_flag_tree_live_range_split"
"-ftree-dom","flag_tree_dom","x_flag_tree_dom"
